Afghanistan,27.7
Albania,15.7
Algeria,31.6
Andorra,50
Angola,0
Antigua and Barbuda,10.5
Argentina,37.4
Armenia,10.7
Australia,24.7
Austria,27.9
Azerbaijan,16
Bahamas,13.2
Bahrain,10
Bangladesh,19.7
Barbados,10
Belarus,26.6
Belgium,38
Belize,3.1
Benin,8.4
Bhutan,8.5
Bolivia,25.4
Bosnia and Herzegovina,21.4
Botswana,7.9
Brazil,8.6
Bulgaria,20.8
Burkina Faso,15.3
Burundi,30.5
Cambodia,20.3
Cameroon,13.9
Canada,24.7
Cape Verde,20.8
Central African Republic,12.5
Chad,12.8
Chile,14.2
China,21.3
Colombia,12.1
Comoros,3
Republic of the Congo,7.4
Costa Rica,38.6
Cote d'Ivoire,11
Croatia,23.8
Cuba,45.2
Cyprus,10.7
Czech Republic,22
South Korea,15.6
Democratic Republic of the Congo,8.9
Denmark,39.1
Djibouti,13.8
Dominica,12.5
Dominican Republic,20.8
Ecuador,32.3
Egypt,2
El Salvador,26.2
Equatorial Guinea,10
Eritrea,22
Estonia,19.8
Ethiopia,27.8
Fiji,0
Finland,42.5
France,26.9
Gabon,15.8
Gambia,7.5
Georgia,6.6
Germany,32.9
Ghana,8.3
Greece,21
Grenada,13.3
Guatemala,13.3
Guinea,0
Guinea-Bissau,10
Guyana,31.3
Haiti,4.2
Honduras,19.5
Hungary,8.8
Iceland,39.7
India,11
Indonesia,18.2
Iran,3.1
Iraq,25.2
Ireland,15.1
Israel,20
Italy,21.6
Jamaica,12.7
Japan,10.8
Jordan,10.8
Kazakhstan,24.3
Kenya,9.8
Kiribati,8.7
Kuwait,6.3
Kyrgyzstan,23.3
Laos,25
Latvia,23
Lebanon,3.1
Lesotho,25.8
Liberia,11
Libya,16.5
Liechtenstein,24
Lithuania,19.1
Luxembourg,25
Madagascar,17.5
Malawi,22.3
Malaysia,10.4
Maldives,6.5
Mali,10.2
Malta,8.7
Marshall Islands,3
Mauritania,22.1
Mauritius,18.8
Mexico,36.8
Micronesia ,0
Monaco,19
Mongolia,12.7
Montenegro,12.3
Morocco,17
Mozambique,39.2
Myanmar,6
Namibia,24.4
Nauru,0
Nepal,33.2
Netherlands,38.7
New Zealand,32.2
Nicaragua,40.2
Niger,13.3
Nigeria,6.8
Norway,39.6
Oman,1.2
Pakistan,22.5
Palau,0
Panama,8.5
Papua New Guinea,2.7
Paraguay,12.5
Peru,21.5
Philippines,22.9
Poland,23.7
Portugal,28.7
Qatar,0
Republic of Korea,15.7
Republic of Moldova,19.8
Romania,11.2
Russia,13.6
Rwanda,56.3
Saint Kitts and Nevis,6.7
Saint Lucia,16.7
Saint Vincent and the Grenadines,17.4
Samoa,4.1
San Marino,18.3
Sao Tome and Principe,18.2
Saudi Arabia,0
Senegal,42.7
Serbia,32.4
Seychelles,43.8
Sierra Leone,12.9
Singapore,23.5
Slovakia,17.3
Slovenia,32.2
Solomon Islands,0
Somalia,13.8
South Africa,42.3
South Sudan,26.5
Spain,36
Sri Lanka,5.8
Sudan,24.6
Suriname,11.8
Swaziland,13.6
Sweden,44.7
Switzerland,28.5
Syrian Arab Republic,12
Tajikistan,19
Thailand,15.8
TFYR of Macedonia,30.9
Timor-Leste,38.5
Togo,11.1
Tonga,3.6
Trinidad and Tobago,28.6
Tunisia,26.7
Turkey,14.2
Turkmenistan,16.8
Tuvalu,6.7
Uganda,35
Ukraine,8
United Arab Emirates,17.5
United Kingdom,22.3
United Republic of Tanzania,36
United States,17
Uruguay,12.1
Uzbekistan,22
Vanuatu,1.9
Venezuela,17
Vietnam,24.4
Yemen,0.3
Zambia,11.5
Zimbabwe,15
Greenland,0