Afghanistan,7.6,9.5
Albania,12.2,15.9
Algeria,8.1,19.1
American Samoa,4.9,6
Anguilla,6.3,9.5
Antigua and Barbuda,8,8.8
Argentina,6.2,8.5
Aruba,5,6.5
Australia,4.9,5.3
Austria,4,4.3
Azerbaijan,4.5,6.4
Bahamas,13.6,13.7
Bahrain,5.6,20
Bangladesh,4.2,7.4
Barbados,9.8,12.5
Belgium,7.1,7.2
Benin,0.9,0.4
Bermuda,3.1,2.3
Bhutan,1.8,4.5
Bolivia,2.6,4.4
Bosnia and Herzegovina,26,29.9
Botswana,15.3,19.9
Brazil,6.1,11
Brunei Darussalam,3.7,6.7
Bulgaria,12.3,10
Burundi,0.7,0.3
Cambodia,0.3,0.1
Cameroon,3.1,4.5
Canada,7.8,7
Cape Verde,23.3,22.6
Cayman Islands,3.8,4.1
Chad,1.1,0.3
Chile,6.1,8.7
China,3,2.1
Colombia,9.1,15
Comoros,21.3,16.9
Cook Islands,11.7,14.8
Costa Rica,6,10.3
Croatia,13.7,13.2
Cuba,2.4,2.7
Cyprus,7.8,7.7
Czech Republic,5.8,7.9
Denmark,7.7,7.5
Djibouti,54.6,68.6
Dominica,12,9.5
Dominican Republic,9.3,16.4
Egypt,4.9,22.6
El Salvador,8.4,5.1
Equatorial Guinea,27.4,18.5
Estonia,13.1,11.8
Ethiopia,11.7,22.6
Faeroe Islands,2.6,3.9
Fiji,6.4,12.9
Finland,8.3,7.1
France,8.8,9.7
Gabon,19.1,16.1
Georgia,16.7,13.1
Germany,6.2,5.6
Ghana,3.5,3.6
Gibraltar,7.7,4
Greece,14.9,21.4
Greenland,10,6.7
Grenada,9.6,10.9
Guadeloupe,19.1,25.8
Guam,12.8,9.8
Guatemala,2.9,6.6
Guinea,4.6,1.7
Guyana,17.2,25.7
Haiti,6.2,8.3
Honduras,4.3,5.6
Hungary,11,10.9
Iceland,7.8,6.2
India,3.3,4.3
Iran,9.1,16.8
Iraq,16.2,22.5
Ireland,17.4,10.6
Isle of Man,2.8,2
Israel,5.6,5.6
Italy,7.6,9.6
Jamaica,9.6,17.2
Japan,4.8,4.1
Jordan,11,21.2
Kazakhstan,4.6,6.2
Kosovo,56.4,40.7
Kuwait,2,1.8
Kyrgyzstan,7.3,9.4
Lao People's Democratic Republic,1.3,1.4
Latvia,17.6,13.1
Lebanon,8.6,10.1
Lesotho,23,28
Liberia,3.4,4.1
Lithuania,17.8,13
Luxembourg,3.8,6.3
Madagascar,1.7,3.5
Malawi,5.4,10
Malaysia,3.3,3.6
Maldives,7.9,23.8
Mali,7.2,10.9
Malta,6.1,7
Marshall Islands,27.6,37.3
Martinique,19,22.5
Mauritania,23.9,44
Mauritius,5.2,12.3
Mexico,5.3,5.2
Monaco,2.5,5.2
Mongolia,3,3.6
Montenegro,19.5,20
Morocco,8.4,10.2
Mozambique,3.4,1.3
Myanmar,4.7,8.8
Namibia,32.5,43
Nepal,3.1,2.4
Netherlands,4.5,4.4
Netherlands Antilles,8,12.5
New Zealand,6.3,6.8
Nicaragua,7.4,8.8
Niger,1.7,0.9
Nigeria,3.7,4.4
Northern Mariana Islands,7.3,5.8
Norway,3.4,3.1
Occupied Palestinian Territory,23.1,26.8
Pakistan,4,8.7
Palau,3.7,4.9
Panama,4.2,4.9
Papua New Guinea,4.3,1.3
Paraguay,4.4,7.4
Peru,5.8,10.1
Poland,9,10.4
Portugal,12.4,13.1
Puerto Rico,18.2,12.8
Qatar,0.2,3.3
South Korea,3.6,3.1
North Korea,3.6,3.1
Republic of Moldova,7.7,5.6
RŽunion,27.6,31.8
Romania,7.9,6.8
Russia,7,6.2
Rwanda,0.9,0.4
Saint Helena,20.2,15.1
Saint Kitts and Nevis,4.3,5.9
Saint Lucia,10,18.5
Saint Vincent and the Grenadines,18.3,21.4
Samoa,4.4,6.2
San Marino,1.2,4.5
Sao Tome and Principe,11,24.5
Saudi Arabia,3.5,15.9
Senegal,7.9,13.6
Serbia,18.3,20.4
Serbia and Montenegro,14.4,16.4
Seychelles,6.1,4.9
Sierra Leone,4.5,2.3
Singapore,2.6,3.2
Slovakia,13.5,13.5
Slovenia,8.2,8.2
Solomon Islands,31,33.7
South Africa,22.3,27.7
Spain,21.2,22.2
Sri Lanka,3.5,7.7
Suriname,7,13.7
Swaziland,20,26
Sweden,7.6,7.5
Switzerland,3.7,4.5
Syrian Arab Republic,5.7,22.5
TFYR of Macedonia,31.8,30.8
Thailand,0.7,0.6
Trinidad and Tobago,3.5,6.2
Turkey,9.2,11.3
Tuvalu,4.9,8.6
Uganda,3.1,5.1
Ukraine,8.8,6.8
United Arab Emirates,2,12
United Kingdom,8.4,7.1
United Republic of Tanzania,2.8,5.8
United States,9.4,8.5
Uruguay,4.5,7.7
Vanuatu,4.1,5.2
Venezuela,7.7,9.3
Vietnam,1.7,2.4
Zimbabwe,4.2,4.1